id	text	category	priority	website	logo
1	24seven	Frame manufacturer	0		
2	3M	Frame manufacturer	0		
3	3T	Frame manufacturer	0		
4	3rd Eye	Frame manufacturer	0		
5	45North	Frame manufacturer	0		
6	4ZA	Frame manufacturer	0		
7	A-Class	Frame manufacturer	0		
8	A-bike	Frame manufacturer	0		
9	ABI	Frame manufacturer	0		
10	ACS	Frame manufacturer	0		
11	ALAN	Frame manufacturer	0		
12	AMF	Frame manufacturer	0		
13	Aardvark	Frame manufacturer	0		
14	Abici	Frame manufacturer	0		
15	Abus	Frame manufacturer	2		
16	Accelerade	Frame manufacturer	0		
17	Accell	Frame manufacturer	0		
18	Access	Frame manufacturer	0		
19	Acros	Frame manufacturer	0		
20	Adolphe Clément	Frame manufacturer	0		
21	Adventure Medical Kits	Frame manufacturer	0		
22	Aerofix Cycles	Frame manufacturer	0		
23	AheadSet	Frame manufacturer	0		
24	Aist Bicycles	Frame manufacturer	0		
25	Aladdin	Frame manufacturer	0		
26	Alcyon	Frame manufacturer	0		
27	Alex	Frame manufacturer	0		
28	Alexander Leutner & Co.	Frame manufacturer	0		
29	Alien Bikes	Frame manufacturer	0		
30	Alienation	Frame manufacturer	1		
31	Alite Designs	Frame manufacturer	0		
32	All City	Frame manufacturer	0		
33	Alldays & Onions	Frame manufacturer	0		
34	American Bicycle Company	Frame manufacturer	0		
35	American Classic	Frame manufacturer	1		
36	American Machine and Foundry	Frame manufacturer	0		
37	American Star Bicycle	Frame manufacturer	0		
38	And	Frame manufacturer	0		
39	Andiamo	Frame manufacturer	0		
40	Answer BMX	Frame manufacturer	0		
41	Answer Products	Frame manufacturer	0		
42	Apollo	Frame manufacturer	0		
43	Aqua Sphere	Frame manufacturer	0		
44	Aquamira	Frame manufacturer	0		
45	Arai	Frame manufacturer	0		
46	Argon 18	Frame manufacturer	0		
47	Asama	Frame manufacturer	0		
48	Asda	Frame manufacturer	0		
49	Assos	Frame manufacturer	0		
50	Atala	Frame manufacturer	0		
51	Atomlab	Frame manufacturer	0		
52	Author	Frame manufacturer	0		
53	Avanti	Frame manufacturer	0		
54	Aventón	Frame manufacturer	0		
55	Avid	Frame manufacturer	0		
56	Axiom	Frame manufacturer	0		
57	Axle Release	Frame manufacturer	0		
58	Aztec	Frame manufacturer	0		
59	Azzuri	Frame manufacturer	0		
60	BCA	Frame manufacturer	0		
61	BMC	Frame manufacturer	0		
62	BOB	Frame manufacturer	0		
63	BONT	Frame manufacturer	0		
64	BOX	Frame manufacturer	0		
65	BSD	Frame manufacturer	0		
66	BULLITT	Frame manufacturer	0		
67	Bacchetta	Frame manufacturer	0		
68	Backpacker's Pantry	Frame manufacturer	0		
69	Backward Circle	Frame manufacturer	0		
70	Bahco	Frame manufacturer	0		
71	Bailey	Frame manufacturer	0		
72	Baladeo	Frame manufacturer	1		
73	Banjo Brothers	Frame manufacturer	0		
74	Banshee bikes	Frame manufacturer	0		
75	Bar Mitts	Frame manufacturer	0		
76	Basso	Frame manufacturer	0		
77	Batavus	Frame manufacturer	1		
78	BeOne	Frame manufacturer	0		
79	Beater Bikes	Frame manufacturer	0		
80	Beistegui Hermanos	Frame manufacturer	0		
81	Bellwether	Frame manufacturer	0		
82	Bergamont	Frame manufacturer	0		
83	Bertucci	Frame manufacturer	0		
84	Bianchi	Frame manufacturer	0		
85	Bickerton	Frame manufacturer	0		
86	Bicycle Research	Frame manufacturer	0		
87	Big Agnes Inc	Frame manufacturer	0		
88	Bike Fit Systems	Frame manufacturer	0		
89	Bike Friday	Frame manufacturer	0		
90	Bike Mielec	Frame manufacturer	0		
91	Bike Ribbon	Frame manufacturer	0		
92	Bike-Aid	Frame manufacturer	0		
93	Bike-Eye	Frame manufacturer	0		
94	Bike-O-Vision	Frame manufacturer	0		
95	BikeE recumbents	Frame manufacturer	0		
96	Bikes Belong	Frame manufacturer	0		
97	Bikeverywhere	Frame manufacturer	0		
98	Bilenky Cycle Works	Frame manufacturer	0		
99	Biomega	Frame manufacturer	0		
100	BionX	Frame manufacturer	0		
101	Birdy	Frame manufacturer	0		
102	Biria	Frame manufacturer	0		
103	Birmingham Small Arms Company	Frame manufacturer	0		
104	Black Diamond	Frame manufacturer	0		
105	Black Market	Frame manufacturer	2		
106	Black Sheep Bikes	Frame manufacturer	0		
107	Boardman Bikes	Frame manufacturer	0		
108	Bobbin	Frame manufacturer	0		
109	BodyGlide	Frame manufacturer	0		
110	Boeshield	Frame manufacturer	0		
111	Bohemian Bicycles	Frame manufacturer	0		
112	Bondhus	Frame manufacturer	0		
113	Bonk Breaker	Frame manufacturer	0		
114	Boreas Gear	Frame manufacturer	0		
115	Borile	Frame manufacturer	0		
116	Bottecchia	Frame manufacturer	0		
117	Boulder Bicycles	Frame manufacturer	0		
118	Bradbury Motor Cycles	Frame manufacturer	0		
119	Brannock Device Co	Frame manufacturer	0		
120	Brasil & Movimento	Frame manufacturer	0		
121	Brave Soldier	Frame manufacturer	1		
122	Breezer	Frame manufacturer	0		
123	Breezer Bikes	Frame manufacturer	0		
124	Brennabor	Frame manufacturer	0		
125	Bridgestone	Frame manufacturer	0		
126	British Eagle	Frame manufacturer	0		
127	Brompton Bicycle	Frame manufacturer	0		
128	Brooklyn Bicycle Co.	Frame manufacturer	0		
129	Brooks England LTD.	Frame manufacturer	0		
130	Brunswick Corporation	Frame manufacturer	0		
131	Brush Research	Frame manufacturer	0		
132	Buff	Frame manufacturer	0		
133	Burley	Frame manufacturer	0		
134	Burley Design	Frame manufacturer	0		
135	Bushnell	Frame manufacturer	0		
136	Buzzy's	Frame manufacturer	0		
137	CCM	Frame manufacturer	0		
138	CDI Torque Products	Frame manufacturer	0		
139	CHUMBA Racing	Frame manufacturer	0		
140	CRUD	Frame manufacturer	0		
141	CST	Frame manufacturer	0		
142	CVLN (Civilian)	Frame manufacturer	0		
143	CX Tape	Frame manufacturer	0		
144	Caffelatex	Frame manufacturer	0		
145	Calcott Brothers	Frame manufacturer	0		
146	Calfee Design	Frame manufacturer	0		
147	California Springs	Frame manufacturer	0		
148	Caloi	Frame manufacturer	0		
149	Camelbak	Frame manufacturer	0		
150	Camillus	Frame manufacturer	0		
151	Campagnolo	Frame manufacturer	0		
152	Campion Cycle Company	Frame manufacturer	0		
153	Cane Creek	Frame manufacturer	0		
154	Cannondale	Frame manufacturer	0		
155	Canyon bicycles	Frame manufacturer	0		
156	Carmichael Training Systems	Frame manufacturer	0		
157	Carrera bicycles	Frame manufacturer	0		
158	CatEye	Frame manufacturer	0		
159	Catrike	Frame manufacturer	1		
160	Centurion	Frame manufacturer	0		
161	CeramicSpeed	Frame manufacturer	0		
162	Cervélo	Frame manufacturer	0		
163	Chadwick	Frame manufacturer	0		
164	Challenge	Frame manufacturer	0		
165	Charge	Frame manufacturer	0		
166	Chase	Frame manufacturer	0		
167	Chater-Lea	Frame manufacturer	0		
168	Chicago Bicycle Company	Frame manufacturer	0		
169	Chris King	Frame manufacturer	0		
170	Chromag	Frame manufacturer	0		
171	Cignal	Frame manufacturer	0		
172	Cilo	Frame manufacturer	0		
173	Cinelli	Frame manufacturer	0		
174	Citizen Bike	Frame manufacturer	0		
175	City Bicycles Company	Frame manufacturer	0		
176	Civia	Frame manufacturer	0		
177	Clark-Kent	Frame manufacturer	0		
178	Claud Butler	Frame manufacturer	0		
179	Clean Bottle	Frame manufacturer	0		
180	Clement	Frame manufacturer	0		
